repo_full,detector_family,detector_variant,volume_condition,missingness_condition,scenario_count,mean_precision,precision_valid_observations,mean_recall,recall_valid_observations,mean_false_alarm_rate,false_alarm_rate_valid_observations,mean_episode_detection_rate,episode_detection_rate_valid_observations,mean_detection_delay_weeks,detection_delay_weeks_valid_observations,mean_boundary_overlap,boundary_overlap_valid_observations,mean_alarm_duration_weeks,alarm_duration_weeks_valid_observations,mean_unevaluable_fraction,unevaluable_fraction_valid_observations
docker/cli,causal_rolling_mad,union,low_volume,none,2800,0.27158369408369404,2800,0.5711607142857142,2800,0.30034126984126974,2800,0.7767857142857143,2800,0.5393103448275862,2175,0.23230390145568716,2800,7.842142857142857,2800,0.3888888888888885,2800
docker/cli,causal_rolling_mad,union,observed,controlled,2800,0.06376558956916095,2800,0.5286182336182337,1170,0.3392669379830202,2800,0.25785714285714284,2800,0.31301939058171746,722,0.06010785147392286,2800,5.630714285714285,2800,0.55859126984127,2800
docker/cli,causal_rolling_mad,union,observed,none,8400,0.2702529933690647,8400,0.5713392857142857,8400,0.3034803476946333,8400,0.7842857142857143,8400,0.4977231329690346,6588,0.2277191773173915,8400,7.848809523809524,8400,0.38888888888888845,8400
docker/cli,mewma,mewma,low_volume,none,2800,0.4957942619658788,2727,0.7161607142857143,2800,0.06306936524609837,2800,0.8253571428571429,2800,0.409346603202077,2311,0.4193917233560089,2800,4.9246428571428575,2800,0.0,2800
docker/cli,mewma,mewma,observed,controlled,2800,0.48807769885117924,2715,0.6247959183673469,2800,0.056135748049219614,2800,0.7542857142857143,2800,0.5610795454545454,2112,0.4011461167800453,2800,4.550357142857143,2800,9.920634920634644e-05,2800
docker/cli,mewma,mewma,observed,none,8400,0.49496499990540493,8390,0.7200297619047619,8400,0.06312229891956773,8400,0.8333333333333334,8400,0.36942857142857144,7000,0.43269543650793624,8400,5.032261904761905,8400,0.0,8400
prometheus/prometheus,causal_rolling_mad,failure_rate,low_volume,none,2800,1.0,157,0.014642857142857143,2800,0.0,2800,0.05607142857142857,2800,1.585987261146497,157,0.014642857142857143,2800,0.06428571428571428,2800,0.3888888888888885,2800
prometheus/prometheus,causal_rolling_mad,failure_rate,observed,controlled,2800,1.0,15,0.001927695203478928,2201,0.0,2800,0.005357142857142857,2800,1.2666666666666666,15,0.001927695203478928,2201,0.005357142857142857,2800,0.462956349206349,2800
prometheus/prometheus,causal_rolling_mad,failure_rate,observed,none,8400,1.0,1173,0.06306547619047619,8400,0.0,8400,0.13964285714285715,8400,1.0315430520034101,1173,0.06306547619047619,8400,0.26,8400,0.38888888888888845,8400
prometheus/prometheus,causal_rolling_mad,latency_log,low_volume,none,2800,1.0,1200,0.17683035714285714,2800,0.0,2800,0.42857142857142855,2800,1.0,1200,0.17683035714285714,2800,0.6842857142857143,2800,0.3888888888888885,2800
prometheus/prometheus,causal_rolling_mad,latency_log,observed,controlled,2800,1.0,587,0.12853739953331603,2204,0.0,2800,0.20964285714285713,2800,1.0,587,0.12853739953331603,2204,0.29,2800,0.46001984126984113,2800
prometheus/prometheus,causal_rolling_mad,latency_log,observed,none,8400,1.0,2542,0.14700892857142858,8400,0.0,8400,0.3026190476190476,8400,1.0,2542,0.14700892857142858,8400,0.6009523809523809,8400,0.38888888888888845,8400
prometheus/prometheus,causal_rolling_mad,rerun_rate,low_volume,none,2800,0.5827256588829713,2441,0.36674107142857143,2800,0.022416383219954577,2800,0.5714285714285714,2800,1.06875,1600,0.33458035714285705,2800,2.0585714285714287,2800,0.3888888888888885,2800
prometheus/prometheus,causal_rolling_mad,rerun_rate,observed,controlled,2800,0.5248475144861238,2186,0.2756072227548737,2235,0.02043710466642793,2800,0.4375,2800,1.5910204081632653,1225,0.23579527386914698,2396,1.082142857142857,2800,0.4587202380952379,2800
prometheus/prometheus,causal_rolling_mad,rerun_rate,observed,none,8400,0.6050039682539682,8400,0.38452380952380955,8400,0.02320445956160235,8400,0.66,8400,1.3351370851370852,5544,0.3550119047619047,8400,2.1315476190476192,8400,0.38888888888888845,8400
prometheus/prometheus,causal_rolling_mad,two_of_three,low_volume,none,2800,1.0,769,0.1090625,2800,0.0,2800,0.27464285714285713,2800,1.0650195058517555,769,0.1090625,2800,0.42178571428571426,2800,0.3888888888888885,2800
prometheus/prometheus,causal_rolling_mad,two_of_three,observed,controlled,2800,1.0,84,0.03582735961768218,1116,0.0,2800,0.03,2800,1.0119047619047619,84,0.03582735961768218,1116,0.0325,2800,0.559732142857143,2800
prometheus/prometheus,causal_rolling_mad,two_of_three,observed,none,8400,1.0,2093,0.11427083333333334,8400,0.0,8400,0.24916666666666668,8400,1.1075011944577162,2093,0.11427083333333334,8400,0.4694047619047619,8400,0.38888888888888845,8400
prometheus/prometheus,causal_rolling_mad,union,low_volume,none,2800,0.6627681745739854,2719,0.48714285714285716,2800,0.023310657596371808,2800,0.7410714285714286,2800,0.8506024096385543,2075,0.43748115079365074,2800,2.5317857142857143,2800,0.3888888888888885,2800
prometheus/prometheus,causal_rolling_mad,union,observed,controlled,2800,0.4415542710340398,1038,0.3146206690561529,1116,0.011714226041293685,2800,0.1767857142857143,2800,0.7111111111111111,495,0.19902208201892743,1585,0.5,2800,0.559732142857143,2800
prometheus/prometheus,causal_rolling_mad,union,observed,none,8400,0.6571964285714286,8400,0.4878720238095238,8400,0.02409656084656078,8400,0.7501190476190476,8400,0.991112521821933,6301,0.4390069444444445,8400,2.5525,8400,0.38888888888888845,8400
prometheus/prometheus,mewma,mewma,low_volume,none,2800,0.7459263560889579,1476,0.3436160714285714,2800,0.02116943652460982,2800,0.5271428571428571,2800,1.5928184281842819,1476,0.27679676870748304,2800,2.4817857142857145,2800,0.0,2800
prometheus/prometheus,mewma,mewma,observed,controlled,2800,0.759343888688977,1191,0.2548086734693878,2800,0.01608690351140454,2800,0.4253571428571429,2800,2.2157850545759867,1191,0.21004308390022675,2800,1.97,2800,7.936507936507858e-05,2800
prometheus/prometheus,mewma,mewma,observed,none,8400,0.7290049142685465,4438,0.3550446428571429,8400,0.02258499024609842,8400,0.5283333333333333,8400,1.430374042361424,4438,0.28318797241118676,8400,2.5577380952380953,8400,0.0,8400
tektoncd/pipeline,causal_rolling_mad,failure_rate,low_volume,none,2800,1.0,7,0.0004017857142857143,2800,0.0,2800,0.0025,2800,3.5714285714285716,7,0.0004017857142857143,2800,0.0025,2800,0.3888888888888885,2800
tektoncd/pipeline,causal_rolling_mad,failure_rate,observed,controlled,2800,,0,0.0,2230,0.0,2800,0.0,2800,,0,0.0,2230,0.0,2800,0.46163690476190455,2800
tektoncd/pipeline,causal_rolling_mad,failure_rate,observed,none,8400,1.0,8,0.0004464285714285714,8400,0.0,8400,0.0009523809523809524,8400,1.25,8,0.0004464285714285714,8400,0.0009523809523809524,8400,0.38888888888888845,8400
tektoncd/pipeline,causal_rolling_mad,latency_log,low_volume,none,2800,0.9251968503937008,1016,0.22196428571428573,2800,0.0025770975056689173,2800,0.3485714285714286,2800,1.1075819672131149,976,0.2163452380952381,2800,0.9578571428571429,2800,0.3888888888888885,2800
tektoncd/pipeline,causal_rolling_mad,latency_log,observed,controlled,2800,0.9345744680851064,470,0.12385990866405094,2221,0.0008004535147392143,2800,0.16071428571428573,2800,1.0933333333333333,450,0.12203640573744133,2221,0.32142857142857145,2800,0.4601289682539681,2800
tektoncd/pipeline,causal_rolling_mad,latency_log,observed,none,8400,0.9187351241074464,2941,0.20200892857142858,8400,0.002614512471655313,8400,0.33654761904761904,8400,1.1142553944110365,2827,0.19684424603174605,8400,0.8995238095238095,8400,0.38888888888888845,8400
tektoncd/pipeline,causal_rolling_mad,rerun_rate,low_volume,none,2800,0.4152126147085433,2579,0.13183035714285715,2800,0.027809807256235754,2800,0.3925,2800,0.802547770700637,1099,0.1263125,2800,1.072142857142857,2800,0.3888888888888885,2800
tektoncd/pipeline,causal_rolling_mad,rerun_rate,observed,controlled,2800,0.38714991762767703,2428,0.16730102342890973,2252,0.028682315908819606,2800,0.3417857142857143,2800,0.7701149425287356,957,0.14248511904761904,2560,0.9171428571428571,2800,0.4606547619047616,2800
tektoncd/pipeline,causal_rolling_mad,rerun_rate,observed,none,8400,0.4542143084008258,8396,0.16370535714285714,8400,0.02877163643235064,8400,0.4714285714285714,8400,0.7792929292929293,3960,0.1548918650793651,8400,1.2398809523809524,8400,0.38888888888888845,8400
tektoncd/pipeline,causal_rolling_mad,two_of_three,low_volume,none,2800,1.0,106,0.01,2800,0.0,2800,0.03785714285714286,2800,1.4245283018867925,106,0.01,2800,0.048928571428571425,2800,0.3888888888888885,2800
tektoncd/pipeline,causal_rolling_mad,two_of_three,observed,controlled,2800,1.0,10,0.0034930139720558834,1169,0.0,2800,0.0035714285714285713,2800,1.3,10,0.0034930139720558834,1169,0.003928571428571429,2800,0.5606448412698416,2800
tektoncd/pipeline,causal_rolling_mad,two_of_three,observed,none,8400,1.0,735,0.028035714285714285,8400,0.0,8400,0.0875,8400,1.198639455782313,735,0.028035714285714285,8400,0.13166666666666665,8400,0.38888888888888845,8400
tektoncd/pipeline,causal_rolling_mad,union,low_volume,none,2800,0.560751879699248,2660,0.37473214285714285,2800,0.030424603174603097,2800,0.6253571428571428,2800,0.7418617932609937,1751,0.3146666666666667,2800,2.0575,2800,0.3888888888888885,2800
tektoncd/pipeline,causal_rolling_mad,union,observed,controlled,2800,0.2708333333333333,1780,0.32536355859709154,1169,0.0285134281782888,2800,0.19178571428571428,2800,0.521415270018622,537,0.16186698717948717,2080,0.7460714285714286,2800,0.5606448412698416,2800
tektoncd/pipeline,causal_rolling_mad,union,observed,none,8400,0.5560604255994918,8396,0.350625,8400,0.03161810279667415,8400,0.6488095238095238,8400,0.7517431192660551,5450,0.29880753968253965,8400,2.0391666666666666,8400,0.38888888888888845,8400
tektoncd/pipeline,mewma,mewma,low_volume,none,2800,0.6067650413458795,1169,0.17633928571428573,2800,0.014770501950780288,2800,0.3325,2800,2.355531686358754,931,0.15402565192743764,2800,1.4625,2800,0.0,2800
tektoncd/pipeline,mewma,mewma,observed,controlled,2800,0.6247586319751267,873,0.11393494897959182,2800,0.009481261254501789,2800,0.2382142857142857,2800,3.1694152923538232,667,0.10257185374149655,2800,1.015,2800,0.00012896825396825002,2800
tektoncd/pipeline,mewma,mewma,observed,none,8400,0.6690688172343588,3407,0.2025,8400,0.01325146933773508,8400,0.3441666666666667,8400,2.2352127291594606,2891,0.16976436130007558,8400,1.4870238095238095,8400,0.0,8400
