repo_full,detector_variant,metric,window_weeks,window_role,threshold,threshold_role,persistence_weeks,persistence_role,affected_metrics,magnitude_level,magnitude,duration_weeks,volume_condition,missingness_condition,scenario_count,mean_precision,precision_valid_observations,mean_recall,recall_valid_observations,mean_false_alarm_rate,false_alarm_rate_valid_observations,mean_episode_detection_rate,episode_detection_rate_valid_observations,mean_detection_delay_weeks,detection_delay_weeks_valid_observations,mean_boundary_overlap,boundary_overlap_valid_observations,mean_alarm_duration_weeks,alarm_duration_weeks_valid_observations,mean_unevaluable_fraction,unevaluable_fraction_valid_observations
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",1,observed,controlled,100,0.06,100,0.3076923076923077,39,0.0524254864072975,100,0.12,100,0.0,12,0.06,100,1.12,100,0.445277777777778,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",1,observed,none,100,0.135,100,0.27,100,0.04545454545454539,100,0.27,100,0.0,27,0.135,100,1.27,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",2,low_volume,none,100,0.32,100,0.35,100,0.04761904761904749,100,0.61,100,0.5245901639344263,61,0.23333333333333323,100,1.7,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",2,observed,controlled,100,0.1766666666666666,100,0.3133333333333333,75,0.0539795373615032,100,0.35,100,0.2285714285714285,35,0.1383333333333333,100,1.36,100,0.4408333333333335,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",2,observed,none,100,0.2783333333333333,100,0.285,100,0.04761904761904749,100,0.55,100,0.3272727272727272,55,0.1899999999999999,100,1.57,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",4,low_volume,none,100,0.4821666666666664,100,0.345,100,0.0526315789473684,100,0.79,100,0.8481012658227848,79,0.2759999999999997,100,2.38,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",4,observed,controlled,100,0.16333333333333327,100,0.2218137254901961,68,0.0626249560552965,100,0.32,100,0.625,32,0.09766666666666661,100,1.34,100,0.5063888888888893,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",4,observed,none,100,0.3425000000000001,100,0.2,100,0.0526315789473684,100,0.63,100,0.984126984126984,63,0.1599999999999999,100,1.8,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",8,low_volume,none,100,0.5749999999999996,100,0.22375,100,0.0666666666666666,100,0.91,100,1.7692307692307692,91,0.19888888888888856,100,2.79,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",8,observed,controlled,100,0.15,100,0.2067401960784314,68,0.0712380952380951,100,0.29,100,0.7931034482758621,29,0.0885873015873015,100,1.32,100,0.5572222222222226,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",8,observed,none,100,0.4896666666666665,100,0.165,100,0.0666666666666666,100,0.84,100,1.488095238095238,84,0.1466666666666664,100,2.32,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,high,"{""latency_log"": 0.5}",1,observed,none,100,0.0,100,0.0,100,0.04545454545454539,100,0.0,100,,0,0.0,100,1.0,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,high,"{""latency_log"": 0.5}",2,observed,none,100,0.0,100,0.0,100,0.04761904761904749,100,0.0,100,,0,0.0,100,1.0,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,high,"{""latency_log"": 0.5}",4,observed,none,100,0.0,100,0.0,100,0.0526315789473684,100,0.0,100,,0,0.0,100,1.0,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,high,"{""latency_log"": 0.5}",8,observed,none,100,0.0,100,0.0,100,0.0666666666666666,100,0.0,100,,0,0.0,100,1.0,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,100,0.0,100,0.0,100,0.04545454545454539,100,0.0,100,,0,0.0,100,1.0,100,0.3611111111111112,100
docker/cli,failure_rate,failure_rate,13.0,primary,2.5,sensitivity,1.0,sensitivity,latency_log,low,"{""latency_log"": 0.1}",2,observed,none,100,0.0,100,0.0,100,0.04761904761904749,100,0.0,100,,0,0.0,100,1.0,100,0.3611111111111112,100
