repo_full,week,attempts_total,outcome_n,failure_count,failure_rate,latency_n,feedback_latency_median_min,feedback_latency_p90_min,queue_latency_median_min,execution_span_median_min,logical_run_n,rerun_count,rerun_rate,additional_attempt_count,failed_then_passed_count,failed_then_passed_rate_among_reruns,merged_pr_count,pr_cycle_hours_median,qualified_review_latency_hours_median,reviewed_pr_n,churn_median,changed_files_median,commits_median,created_pr_count,workflow_count,workflow_concentration_hhi,release_count,split,external_calibration,external_evaluation_eligible,workflow_adjusted_latency_log,latency_log_raw,latency_log,low_outcome_support,low_latency_support,missing_core_metric_count
pytest-dev/pytest,2025-08-25,42,28,6,0.2142857142857142,28,14.458333333333332,16.071666666666665,0.05,14.133333333333333,42,0,0.0,0,0,,9,2.3113888888888887,1.612777777777778,9,4.0,2.0,1.0,12,1.0,1.0,,external,True,False,0.0179498972216314,2.738148232259489,0.0179498972216314,False,False,0
pytest-dev/pytest,2025-09-01,23,22,9,0.4090909090909091,22,13.858333333333334,19.59833333333334,0.05,14.05,22,1,0.0454545454545454,1,1,1.0,9,8.466666666666667,0.4425,7,39.0,4.0,1.0,9,1.0,1.0,,external,True,False,-0.0216374599567634,2.6985608750810943,-0.0216374599567634,False,False,0
pytest-dev/pytest,2025-09-08,38,33,5,0.1515151515151515,33,14.183333333333334,39.42,0.05,14.016666666666667,38,0,0.0,0,0,,13,7.7725,1.3711111111111112,11,6.0,1.0,1.0,18,1.0,1.0,,external,True,False,0.0,2.720198335037858,0.0,False,False,0
pytest-dev/pytest,2025-09-15,46,30,6,0.2,30,13.575,19.25166666666667,0.0583333333333333,13.45,46,0,0.0,0,0,,6,45.70527777777778,5.840833333333333,6,33.5,2.0,1.0,9,1.0,1.0,,external,True,False,-0.0408906028013018,2.679307732236556,-0.0408906028013018,False,False,0
pytest-dev/pytest,2025-09-22,58,32,6,0.1875,32,14.216666666666663,19.590000000000007,0.1083333333333333,13.825,58,0,0.0,0,0,,8,3.4344444444444444,2.0579166666666664,8,4.0,1.0,1.0,11,1.0,1.0,,external,False,True,0.0021929833350098,2.722391318372868,0.0021929833350098,False,False,0
pytest-dev/pytest,2025-09-29,69,47,12,0.2553191489361702,47,14.6,22.096666666666664,0.0666666666666666,14.55,68,1,0.0147058823529411,1,0,0.0,12,20.51222222222222,3.650833333333333,12,40.0,2.0,1.0,13,1.0,1.0,,external,False,True,0.0270725792176333,2.747270914255491,0.0270725792176333,False,False,0
pytest-dev/pytest,2025-10-06,63,43,8,0.1860465116279069,43,13.8,18.55666666666668,0.0666666666666666,13.716666666666669,63,0,0.0,0,0,,16,16.102083333333333,0.8613888888888889,15,41.5,2.0,1.0,14,1.0,1.0,,external,False,True,-0.0255711542677885,2.694627180770069,-0.0255711542677885,False,False,0
pytest-dev/pytest,2025-10-13,90,56,8,0.1428571428571428,56,13.458333333333332,16.75,0.0666666666666666,13.391666666666666,90,0,0.0,0,0,,7,9.135277777777778,3.503055555555556,7,6.0,1.0,1.0,17,2.0,0.9565432098765432,,external,False,True,-0.0431802431833761,2.671270949598913,-0.0431802431833761,False,False,0
pytest-dev/pytest,2025-10-20,63,40,6,0.15,40,13.858333333333334,16.108333333333334,0.1833333333333333,13.708333333333332,59,4,0.0677966101694915,4,0,0.0,8,30.06833333333333,2.625833333333333,8,84.5,3.0,2.5,12,1.0,1.0,,external,False,True,-0.0216374599567634,2.6985608750810943,-0.0216374599567634,False,False,0
pytest-dev/pytest,2025-10-27,86,43,11,0.2558139534883721,43,13.833333333333334,18.62333333333333,0.1,13.6,86,0,0.0,0,0,,14,24.860277777777775,10.759027777777778,14,108.0,3.0,2.0,16,1.0,1.0,,external,False,True,-0.0233214345337731,2.6968769005040847,-0.0233214345337731,False,False,0
pytest-dev/pytest,2025-11-03,53,42,8,0.1904761904761904,41,21.366666666666667,47.7,0.05,19.966666666666665,53,0,0.0,0,0,,18,2.3230555555555554,0.7248611111111111,16,9.0,2.5,1.0,25,2.0,0.9629761480954075,,external,False,True,0.3873734202716687,3.1075717553095266,0.3873734202716687,False,False,0
pytest-dev/pytest,2025-11-10,116,65,4,0.0615384615384615,65,26.0,33.25666666666667,0.0666666666666666,25.55,116,0,0.0,0,0,,37,1.8588888888888888,0.4156944444444445,36,10.0,3.0,1.0,50,1.0,1.0,,external,False,True,0.5756385309664713,3.295836866004329,0.5756385309664713,False,False,0
pytest-dev/pytest,2025-11-17,59,35,4,0.1142857142857142,35,25.116666666666667,32.84666666666667,0.0833333333333333,25.0,58,1,0.0172413793103448,1,1,1.0,19,7.574722222222222,4.440277777777778,19,9.0,1.0,1.0,17,1.0,1.0,,external,False,True,0.5423753450960622,3.26257368013392,0.5423753450960622,False,False,0
pytest-dev/pytest,2025-11-24,31,25,4,0.16,25,13.383333333333333,16.74666666666667,0.05,13.183333333333334,31,0,0.0,0,0,,10,1.1129166666666666,0.9002777777777777,10,5.0,1.0,1.0,13,1.0,1.0,,external,False,True,-0.0541282061765304,2.6660701288613278,-0.0541282061765304,False,False,0
pytest-dev/pytest,2025-12-01,29,22,2,0.0909090909090909,22,13.991666666666667,21.166666666666668,0.05,14.066666666666666,28,1,0.0357142857142857,1,1,1.0,8,1.5813888888888887,2.490833333333333,7,11.0,1.0,1.0,13,1.0,1.0,,external,False,True,-0.0127038438693705,2.7074944911684877,-0.0127038438693705,False,False,0
pytest-dev/pytest,2025-12-08,15,14,2,0.1428571428571428,14,13.608333333333334,20.01166666666667,0.05,13.558333333333334,15,0,0.0,0,0,,9,8.735,2.671944444444444,9,20.0,1.0,1.0,7,1.0,1.0,,external,False,True,-0.0386061928986691,2.6815921421391886,-0.0386061928986691,False,False,0
pytest-dev/pytest,2025-12-15,35,20,6,0.3,20,13.758333333333333,15.245,0.0666666666666666,13.516666666666666,35,0,0.0,0,0,,4,174.36277777777778,1.709861111111111,4,3.0,1.0,1.0,8,1.0,1.0,,external,False,True,-0.0283904400370702,2.6918078950007875,-0.0283904400370702,False,False,0
