repo_full,workflow_key,week,attempts_total,outcome_n,failure_count,failure_rate,latency_n,feedback_latency_median_min,feedback_latency_p90_min,queue_latency_median_min,execution_span_median_min,logical_run_n,rerun_count,rerun_rate,additional_attempt_count,failed_then_passed_count,failed_then_passed_rate_among_reruns,split,external_calibration,external_evaluation_eligible,latency_log_raw,workflow_training_latency_log_median,workflow_latency_residual
containerd/containerd,1294966,2026-07-20,120,119,3,0.025210084033613446,119,3.716666666666667,5.17,0.05,3.5833333333333335,120,0,0.0,0,0,,external,False,True,1.551102335421137,1.66455721165518,-0.11345487623404282
containerd/containerd,1294966,2026-07-27,80,80,1,0.0125,80,3.716666666666667,4.756666666666667,0.05,3.55,80,0,0.0,0,0,,external,False,True,1.551102335421137,1.66455721165518,-0.11345487623404282
containerd/containerd,1294966,2026-08-03,71,70,1,0.014285714285714285,70,3.7,4.9350000000000005,0.13333333333333333,3.5666666666666664,71,0,0.0,0,0,,external,False,True,1.547562508716013,1.66455721165518,-0.11699470293916692
containerd/containerd,1412342,2025-06-23,56,56,0,0.0,56,3.2666666666666666,3.5166666666666666,0.0,3.2583333333333333,56,0,0.0,0,0,,external,True,False,1.4508328822574619,1.4663370687934272,-0.015504186535965303
containerd/containerd,1412342,2025-06-30,83,83,9,0.10843373493975904,83,3.3333333333333335,5.693333333333333,0.0,3.3333333333333335,82,1,0.012195121951219513,1,1,1.0,external,True,False,1.4663370687934272,1.4663370687934272,0.0
containerd/containerd,1412342,2025-07-07,102,102,6,0.058823529411764705,102,3.2916666666666665,3.5166666666666666,0.0,3.283333333333333,100,1,0.01,2,1,1.0,external,True,False,1.45667515788169,1.4663370687934272,-0.00966191091173707
containerd/containerd,1412342,2025-07-14,76,76,3,0.039473684210526314,76,3.4166666666666665,6.733333333333333,0.016666666666666666,3.4166666666666665,76,0,0.0,0,0,,external,True,False,1.4853852637641214,1.4663370687934272,0.01904819497069421
containerd/containerd,1412342,2025-07-21,41,41,3,0.07317073170731707,41,3.2666666666666666,3.4833333333333334,0.0,3.2666666666666666,41,0,0.0,0,0,,external,True,False,1.4508328822574619,1.4663370687934272,-0.015504186535965303
containerd/containerd,1412342,2025-07-28,100,100,2,0.02,100,3.316666666666667,3.6333333333333333,0.008333333333333333,3.316666666666667,100,0,0.0,0,0,,external,True,False,1.462483499477437,1.4663370687934272,-0.003853569315990235
containerd/containerd,1412342,2025-08-04,51,51,1,0.0196078431372549,51,3.316666666666667,3.533333333333333,0.016666666666666666,3.3,51,0,0.0,0,0,,external,True,False,1.462483499477437,1.4663370687934272,-0.003853569315990235
containerd/containerd,1412342,2025-08-11,48,48,1,0.020833333333333332,48,3.2416666666666667,3.4383333333333335,0.016666666666666666,3.2333333333333334,48,0,0.0,0,0,,external,True,False,1.444956273768477,1.4663370687934272,-0.021380795024950272
containerd/containerd,1412342,2025-08-18,90,90,25,0.2777777777777778,90,3.3333333333333335,8.590000000000002,0.016666666666666666,3.325,90,0,0.0,0,0,,external,True,False,1.4663370687934272,1.4663370687934272,0.0
containerd/containerd,1412342,2025-08-25,230,230,10,0.043478260869565216,230,3.4,3.5349999999999997,0.0,3.4,230,0,0.0,0,0,,external,True,False,1.4816045409242156,1.4663370687934272,0.015267472130788384
containerd/containerd,1412342,2025-09-01,138,138,13,0.09420289855072464,138,3.45,3.6983333333333333,0.0,3.45,138,0,0.0,0,0,,external,True,False,1.4929040961781488,1.4663370687934272,0.02656702738472161
containerd/containerd,1412342,2025-09-08,75,75,4,0.05333333333333334,75,3.466666666666667,3.6100000000000003,0.016666666666666666,3.45,75,0,0.0,0,0,,external,True,False,1.496642418288756,1.4663370687934272,0.030305349495328926
containerd/containerd,1412342,2025-09-15,62,62,2,0.03225806451612903,62,3.433333333333333,3.6333333333333333,0.0,3.425,62,0,0.0,0,0,,external,True,False,1.4891517465595985,1.4663370687934272,0.0228146777661713
containerd/containerd,1412342,2025-09-22,67,67,4,0.05970149253731343,67,3.433333333333333,3.6333333333333333,0.016666666666666666,3.433333333333333,67,0,0.0,0,0,,external,False,True,1.4891517465595985,1.4663370687934272,0.0228146777661713
containerd/containerd,1412342,2025-09-29,35,35,0,0.0,35,3.4,3.61,0.016666666666666666,3.4,35,0,0.0,0,0,,external,False,True,1.4816045409242156,1.4663370687934272,0.015267472130788384
containerd/containerd,1412342,2025-10-06,58,58,1,0.017241379310344827,58,3.45,4.276666666666669,0.016666666666666666,3.433333333333333,58,0,0.0,0,0,,external,False,True,1.4929040961781488,1.4663370687934272,0.02656702738472161
containerd/containerd,1412342,2025-10-13,61,61,3,0.04918032786885246,61,3.3833333333333333,3.566666666666667,0.0,3.3666666666666667,61,0,0.0,0,0,,external,False,True,1.4778094699556639,1.4663370687934272,0.01147240116223669
containerd/containerd,1412342,2025-10-20,85,85,9,0.10588235294117647,85,3.4833333333333334,3.6333333333333333,0.0,3.466666666666667,85,0,0.0,0,0,,external,False,True,1.5003668173797384,1.4663370687934272,0.03402974858631125
containerd/containerd,1412342,2025-10-27,96,89,14,0.15730337078651685,89,3.433333333333333,7.0633333333333335,0.016666666666666666,3.45,84,9,0.10714285714285714,12,7,0.7777777777777778,external,False,True,1.4891517465595985,1.4663370687934272,0.0228146777661713
containerd/containerd,1412342,2025-11-03,106,106,10,0.09433962264150944,106,3.4,5.075,0.016666666666666666,3.3833333333333333,103,3,0.02912621359223301,3,3,1.0,external,False,True,1.4816045409242156,1.4663370687934272,0.015267472130788384
containerd/containerd,1412342,2025-11-10,59,59,2,0.03389830508474576,59,3.4166666666666665,3.5900000000000003,0.016666666666666666,3.4166666666666665,59,0,0.0,0,0,,external,False,True,1.4853852637641214,1.4663370687934272,0.01904819497069421
containerd/containerd,1412342,2025-11-17,105,105,7,0.06666666666666667,105,3.433333333333333,4.756666666666667,0.016666666666666666,3.4166666666666665,105,0,0.0,0,0,,external,False,True,1.4891517465595985,1.4663370687934272,0.0228146777661713
containerd/containerd,1412342,2025-11-24,111,110,10,0.09090909090909091,110,3.4583333333333335,6.943333333333334,0.016666666666666666,3.433333333333333,111,0,0.0,0,0,,external,False,True,1.4947750041139607,1.4663370687934272,0.028437935320533514
containerd/containerd,1412342,2025-12-01,111,111,13,0.11711711711711711,111,3.433333333333333,3.683333333333333,0.016666666666666666,3.433333333333333,109,1,0.009174311926605505,2,0,0.0,external,False,True,1.4891517465595985,1.4663370687934272,0.0228146777661713
containerd/containerd,1412342,2025-12-08,111,111,3,0.02702702702702703,111,3.4833333333333334,6.966666666666667,0.016666666666666666,3.466666666666667,111,0,0.0,0,0,,external,False,True,1.5003668173797384,1.4663370687934272,0.03402974858631125
containerd/containerd,1412342,2025-12-15,120,120,3,0.025,120,3.45,3.8916666666666675,0.0,3.433333333333333,120,0,0.0,0,0,,external,False,True,1.4929040961781488,1.4663370687934272,0.02656702738472161
containerd/containerd,1412342,2025-12-22,37,37,0,0.0,37,3.4166666666666665,3.54,0.016666666666666666,3.4,37,0,0.0,0,0,,external,False,True,1.4853852637641214,1.4663370687934272,0.01904819497069421
containerd/containerd,1412342,2025-12-29,53,53,4,0.07547169811320754,53,3.3833333333333333,3.55,0.016666666666666666,3.3666666666666667,53,0,0.0,0,0,,external,False,True,1.4778094699556639,1.4663370687934272,0.01147240116223669
containerd/containerd,1412342,2026-01-05,159,159,11,0.06918238993710692,159,3.4166666666666665,3.566666666666667,0.016666666666666666,3.4,155,3,0.01935483870967742,4,2,0.6666666666666666,external,False,True,1.4853852637641214,1.4663370687934272,0.01904819497069421
containerd/containerd,1412342,2026-01-12,73,73,6,0.0821917808219178,73,3.4833333333333334,3.716666666666667,0.016666666666666666,3.466666666666667,73,0,0.0,0,0,,external,False,True,1.5003668173797384,1.4663370687934272,0.03402974858631125
containerd/containerd,1412342,2026-01-19,67,66,2,0.030303030303030304,66,3.625,15.083333333333332,0.016666666666666666,3.6083333333333334,67,0,0.0,0,0,,external,False,True,1.5314763709643886,1.4663370687934272,0.06513930217096142
containerd/containerd,1412342,2026-01-26,98,96,7,0.07291666666666667,96,3.8,17.391666666666666,0.016666666666666666,3.775,97,1,0.010309278350515464,1,0,0.0,external,False,True,1.5686159179138452,1.4663370687934272,0.10227884912041807
containerd/containerd,1412342,2026-02-02,114,114,8,0.07017543859649122,114,3.5083333333333333,4.511666666666667,0.016666666666666666,3.5,112,2,0.017857142857142856,2,2,1.0,external,False,True,1.5059275360644355,1.4663370687934272,0.039590467271008345
containerd/containerd,1412342,2026-02-09,86,86,7,0.08139534883720931,86,3.533333333333333,4.058333333333334,0.016666666666666666,3.5,85,1,0.011764705882352941,1,1,1.0,external,False,True,1.5114575040738967,1.4663370687934272,0.045120435280469495
containerd/containerd,1412342,2026-02-16,114,114,3,0.02631578947368421,114,3.4166666666666665,3.7233333333333336,0.016666666666666666,3.408333333333333,113,1,0.008849557522123894,1,1,1.0,external,False,True,1.4853852637641214,1.4663370687934272,0.01904819497069421
containerd/containerd,1412342,2026-02-23,81,80,0,0.0,80,3.533333333333333,3.818333333333334,0.016666666666666666,3.533333333333333,80,1,0.0125,1,0,0.0,external,False,True,1.5114575040738967,1.4663370687934272,0.045120435280469495
containerd/containerd,1412342,2026-03-02,124,124,4,0.03225806451612903,124,3.5583333333333336,5.041666666666667,0.016666666666666666,3.533333333333333,123,1,0.008130081300813009,1,1,1.0,external,False,True,1.5169570596399353,1.4663370687934272,0.050619990846508145
containerd/containerd,1412342,2026-03-09,97,97,1,0.010309278350515464,97,3.5166666666666666,4.413333333333334,0.016666666666666666,3.5,97,0,0.0,0,0,,external,False,True,1.5077742586576002,1.4663370687934272,0.041437189864172996
containerd/containerd,1412342,2026-03-16,195,195,4,0.020512820512820513,195,3.5833333333333335,4.836666666666666,0.016666666666666666,3.566666666666667,194,1,0.005154639175257732,1,0,0.0,external,False,True,1.5224265354444708,1.4663370687934272,0.05608946665104364
containerd/containerd,1412342,2026-03-23,102,100,4,0.04,100,3.5,3.861666666666669,0.016666666666666666,3.4916666666666667,102,0,0.0,0,0,,external,False,True,1.5040773967762742,1.4663370687934272,0.03774032798284699
containerd/containerd,1412342,2026-03-30,108,108,5,0.046296296296296294,108,3.4833333333333334,4.371666666666666,0.016666666666666666,3.466666666666667,107,1,0.009345794392523364,1,1,1.0,external,False,True,1.5003668173797384,1.4663370687934272,0.03402974858631125
containerd/containerd,1412342,2026-04-06,148,148,6,0.04054054054054054,148,3.3333333333333335,3.9383333333333335,0.016666666666666666,3.3333333333333335,147,1,0.006802721088435374,1,1,1.0,external,False,True,1.4663370687934272,1.4663370687934272,0.0
containerd/containerd,1412342,2026-04-13,93,93,6,0.06451612903225806,93,3.4,6.116666666666666,0.016666666666666666,3.4,92,1,0.010869565217391304,1,1,1.0,external,False,True,1.4816045409242156,1.4663370687934272,0.015267472130788384
containerd/containerd,1412342,2026-04-20,129,129,5,0.03875968992248062,129,3.4833333333333334,6.260000000000002,0.016666666666666666,3.466666666666667,128,1,0.0078125,1,1,1.0,external,False,True,1.5003668173797384,1.4663370687934272,0.03402974858631125
containerd/containerd,1412342,2026-04-27,202,202,8,0.039603960396039604,202,3.4166666666666665,3.9800000000000004,0.016666666666666666,3.4,202,0,0.0,0,0,,external,False,True,1.4853852637641214,1.4663370687934272,0.01904819497069421
containerd/containerd,1412342,2026-05-04,58,58,4,0.06896551724137931,58,3.4583333333333335,7.765000000000005,0.016666666666666666,3.45,56,2,0.03571428571428571,2,1,0.5,external,False,True,1.4947750041139607,1.4663370687934272,0.028437935320533514
containerd/containerd,1412342,2026-05-11,88,86,0,0.0,86,3.35,4.683333333333334,0.016666666666666666,3.3333333333333335,86,2,0.023255813953488372,2,0,0.0,external,False,True,1.4701758451005926,1.4663370687934272,0.003838776307165448
containerd/containerd,1412342,2026-05-18,129,129,4,0.031007751937984496,129,3.3,6.890000000000001,0.016666666666666666,3.2666666666666666,129,0,0.0,0,0,,external,False,True,1.4586150226995167,1.4663370687934272,-0.007722046093910473
containerd/containerd,1412342,2026-05-25,112,112,4,0.03571428571428571,112,3.175,3.495,0.016666666666666666,3.1666666666666665,112,0,0.0,0,0,,external,False,True,1.4291143583028187,1.4663370687934272,-0.037222710490608435
containerd/containerd,1412342,2026-06-01,98,98,5,0.05102040816326531,98,3.183333333333333,3.4466666666666663,0.016666666666666666,3.1666666666666665,96,2,0.020833333333333332,2,2,1.0,external,False,True,1.4311083769096833,1.4663370687934272,-0.03522869188374389
containerd/containerd,1412342,2026-06-08,121,121,8,0.06611570247933884,121,3.2,4.0,0.016666666666666666,3.183333333333333,120,1,0.008333333333333333,1,1,1.0,external,False,True,1.4350845252893227,1.4663370687934272,-0.031252543504104446
containerd/containerd,1412342,2026-06-15,100,100,5,0.05,100,3.2416666666666667,3.9183333333333334,0.016666666666666666,3.216666666666667,100,0,0.0,0,0,,external,False,True,1.444956273768477,1.4663370687934272,-0.021380795024950272
containerd/containerd,1412342,2026-06-22,144,144,5,0.034722222222222224,144,3.2,3.3833333333333333,0.016666666666666666,3.183333333333333,144,0,0.0,0,0,,external,False,True,1.4350845252893227,1.4663370687934272,-0.031252543504104446
containerd/containerd,1412342,2026-06-29,100,100,5,0.05,100,3.2083333333333335,3.4,0.016666666666666666,3.183333333333333,100,0,0.0,0,0,,external,False,True,1.437066686493314,1.4663370687934272,-0.02927038230011325
containerd/containerd,1412342,2026-07-06,129,127,6,0.047244094488188976,127,3.3833333333333333,5.193333333333336,0.016666666666666666,3.35,124,3,0.024193548387096774,5,2,0.6666666666666666,external,False,True,1.4778094699556639,1.4663370687934272,0.01147240116223669
containerd/containerd,1412342,2026-07-13,97,93,2,0.021505376344086023,93,3.5,5.669999999999999,0.016666666666666666,3.466666666666667,94,3,0.031914893617021274,3,0,0.0,external,False,True,1.5040773967762742,1.4663370687934272,0.03774032798284699
containerd/containerd,1412342,2026-07-20,120,119,2,0.01680672268907563,119,3.5,5.690000000000001,0.016666666666666666,3.466666666666667,120,0,0.0,0,0,,external,False,True,1.5040773967762742,1.4663370687934272,0.03774032798284699
containerd/containerd,1412342,2026-07-27,81,79,2,0.02531645569620253,79,3.5833333333333335,5.333333333333335,0.016666666666666666,3.566666666666667,80,1,0.0125,1,0,0.0,external,False,True,1.5224265354444708,1.4663370687934272,0.05608946665104364
containerd/containerd,1412342,2026-08-03,73,70,4,0.05714285714285714,70,3.566666666666667,4.665,0.016666666666666666,3.55,71,2,0.028169014084507043,2,1,0.5,external,False,True,1.5187835441659694,1.4663370687934272,0.05244647537254221
containerd/containerd,170754234,2025-06-23,18,18,14,0.7777777777777778,17,12.916666666666666,33.97666666666667,0.05,12.866666666666667,18,0,0.0,0,0,,external,True,False,2.6330871626287546,3.481240089335692,-0.8481529267069372
containerd/containerd,170754234,2025-06-30,65,65,7,0.1076923076923077,65,30.35,31.426666666666666,0.05,30.3,65,0,0.0,0,0,,external,True,False,3.4452142670789296,3.481240089335692,-0.03602582225676221
containerd/containerd,170754234,2025-07-07,124,119,2,0.01680672268907563,119,30.55,31.526666666666667,0.05,30.516666666666666,124,0,0.0,0,0,,external,True,False,3.4515735889872223,3.481240089335692,-0.029666500348469516
containerd/containerd,170754234,2025-07-14,57,57,3,0.05263157894736842,57,31.3,32.769999999999996,0.05,31.116666666666667,57,0,0.0,0,0,,external,True,False,3.475067230228611,3.481240089335692,-0.006172859107080875
containerd/containerd,170754234,2025-07-21,46,46,28,0.6086956521739131,46,31.525,32.88333333333333,0.05,31.466666666666665,41,3,0.07317073170731707,5,0,0.0,external,True,False,3.482009024398569,3.481240089335692,0.0007689350628772296
containerd/containerd,170754234,2025-07-28,108,108,51,0.4722222222222222,108,31.5,32.93833333333333,0.05,31.40833333333333,108,0,0.0,0,0,,external,True,False,3.481240089335692,3.481240089335692,0.0
containerd/containerd,170754234,2025-08-04,41,41,1,0.024390243902439025,41,31.533333333333335,32.86666666666667,0.05,31.483333333333334,41,0,0.0,0,0,,external,True,False,3.482265204750937,3.481240089335692,0.0010251154152451925
containerd/containerd,170754234,2025-08-11,58,58,1,0.017241379310344827,58,31.40833333333333,32.39333333333333,0.05,31.35,58,0,0.0,0,0,,external,True,False,3.478415591373701,3.481240089335692,-0.0028244979619906907
containerd/containerd,170754234,2025-08-18,115,115,25,0.21739130434782608,115,31.166666666666668,33.52666666666667,0.05,31.083333333333332,114,1,0.008771929824561403,1,1,1.0,external,True,False,3.4709307196768306,3.481240089335692,-0.0103093696588612
