repo_full,detector_family,detector_variant,metric,affected_metrics,magnitude_level,magnitude,duration_weeks,volume_condition,missingness_condition,scenario_count,mean_precision,precision_valid_observations,mean_recall,recall_valid_observations,mean_false_alarm_rate,false_alarm_rate_valid_observations,mean_episode_detection_rate,episode_detection_rate_valid_observations,mean_detection_delay_weeks,detection_delay_weeks_valid_observations,mean_boundary_overlap,boundary_overlap_valid_observations,mean_alarm_duration_weeks,alarm_duration_weeks_valid_observations,mean_unevaluable_fraction,unevaluable_fraction_valid_observations
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",8,observed,controlled,100,,0,0.0,68,0.0,100,0.0,100,,0,0.0,68,0.0,100,0.5850000000000001,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,failure_rate+rerun_rate,medium,"{""failure_rate"": 0.1, ""rerun_rate"": 0.1}",8,observed,none,100,1.0,5,0.00625,100,0.0,100,0.05,100,3.4,5,0.00625,100,0.05,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,high,"{""latency_log"": 0.5}",1,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,high,"{""latency_log"": 0.5}",2,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,high,"{""latency_log"": 0.5}",4,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,high,"{""latency_log"": 0.5}",8,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,low,"{""latency_log"": 0.1}",1,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,low,"{""latency_log"": 0.1}",2,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,low,"{""latency_log"": 0.1}",4,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,low,"{""latency_log"": 0.1}",8,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,medium,"{""latency_log"": 0.25}",1,low_volume,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,medium,"{""latency_log"": 0.25}",1,observed,controlled,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,medium,"{""latency_log"": 0.25}",1,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,medium,"{""latency_log"": 0.25}",2,low_volume,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,medium,"{""latency_log"": 0.25}",2,observed,controlled,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,medium,"{""latency_log"": 0.25}",2,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,medium,"{""latency_log"": 0.25}",4,low_volume,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,medium,"{""latency_log"": 0.25}",4,observed,controlled,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,medium,"{""latency_log"": 0.25}",4,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,medium,"{""latency_log"": 0.25}",8,low_volume,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,medium,"{""latency_log"": 0.25}",8,observed,controlled,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log,medium,"{""latency_log"": 0.25}",8,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,high,"{""failure_rate"": 0.2, ""latency_log"": 0.5}",1,observed,none,100,,0,0.0,100,0.0,100,0.0,100,,0,0.0,100,0.0,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,high,"{""failure_rate"": 0.2, ""latency_log"": 0.5}",2,observed,none,100,1.0,38,0.19,100,0.0,100,0.38,100,1.0,38,0.19,100,0.38,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,high,"{""failure_rate"": 0.2, ""latency_log"": 0.5}",4,observed,none,100,1.0,62,0.2625,100,0.0,100,0.62,100,1.467741935483871,62,0.2625,100,1.05,100,0.3888888888888885,100
docker/cli,causal_rolling_mad,failure_rate,failure_rate,latency_log+failure_rate,high,"{""failure_rate"": 0.2, ""latency_log"": 0.5}",8,observed,none,100,1.0,41,0.07125,100,0.0,100,0.41,100,2.048780487804878,41,0.07125,100,0.57,100,0.3888888888888885,100
