repo_full,detector_family,detector_variant,scenario_type,affected_metrics,dimensionality,magnitude_level,duration_weeks,volume_condition,missingness_condition,scenario_detector_rows,strict_incremental_episode_detected_n,strict_incremental_episode_detected_proportion,strict_incremental_episode_detected_ci95_low,strict_incremental_episode_detected_ci95_high,total_operational_episode_detected_n,total_operational_episode_detected_proportion,total_operational_episode_detected_ci95_low,total_operational_episode_detected_ci95_high,incremental_detected_within_0w_post_n,incremental_detected_within_0w_post_proportion,incremental_detected_within_0w_post_ci95_low,incremental_detected_within_0w_post_ci95_high,incremental_detected_within_1w_post_n,incremental_detected_within_1w_post_proportion,incremental_detected_within_1w_post_ci95_low,incremental_detected_within_1w_post_ci95_high,incremental_detected_within_2w_post_n,incremental_detected_within_2w_post_proportion,incremental_detected_within_2w_post_ci95_low,incremental_detected_within_2w_post_ci95_high,incremental_detected_within_4w_post_n,incremental_detected_within_4w_post_proportion,incremental_detected_within_4w_post_ci95_low,incremental_detected_within_4w_post_ci95_high,strict_incremental_detection_delay_weeks_n,strict_incremental_detection_delay_weeks_mean,strict_incremental_detection_delay_weeks_sd,strict_incremental_detection_delay_weeks_ci95_low,strict_incremental_detection_delay_weeks_ci95_high,reference_alarm_burden_n,reference_alarm_burden_mean,reference_alarm_burden_sd,reference_alarm_burden_ci95_low,reference_alarm_burden_ci95_high,incremental_alarm_duration_weeks_n,incremental_alarm_duration_weeks_mean,incremental_alarm_duration_weeks_sd,incremental_alarm_duration_weeks_ci95_low,incremental_alarm_duration_weeks_ci95_high,incremental_spillover_weeks_n,incremental_spillover_weeks_mean,incremental_spillover_weeks_sd,incremental_spillover_weeks_ci95_low,incremental_spillover_weeks_ci95_high,reference_alarm_overlap_fraction_n,reference_alarm_overlap_fraction_mean,reference_alarm_overlap_fraction_sd,reference_alarm_overlap_fraction_ci95_low,reference_alarm_overlap_fraction_ci95_high,incremental_boundary_overlap_n,incremental_boundary_overlap_mean,incremental_boundary_overlap_sd,incremental_boundary_overlap_ci95_low,incremental_boundary_overlap_ci95_high,pair_unevaluable_fraction_n,pair_unevaluable_fraction_mean,pair_unevaluable_fraction_sd,pair_unevaluable_fraction_ci95_low,pair_unevaluable_fraction_ci95_high,injection_relative_precision_n,injection_relative_precision_mean,injection_relative_precision_sd,injection_relative_precision_ci95_low,injection_relative_precision_ci95_high,injection_relative_false_alarm_rate_n,injection_relative_false_alarm_rate_mean,injection_relative_false_alarm_rate_sd,injection_relative_false_alarm_rate_ci95_low,injection_relative_false_alarm_rate_ci95_high
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,1,observed,none,100,100,0.05,0.02154367915436796,0.11175046923191913,100,0.08,0.041093461484380624,0.14998107700948735,100,0.05,0.02154367915436796,0.11175046923191913,100,0.12,0.06999406437019488,0.19812099426711421,100,0.12,0.06999406437019488,0.19812099426711421,100,0.12,0.06999406437019488,0.19812099426711421,5,0.0,0.0,0.0,0.0,100,0.022222222222222195,3.486925384749193e-18,0.022222222222222195,0.022222222222222195,100,0.16,0.46536615322309005,0.06878991000587951,0.2512100899941205,100,0.11,0.31446603773522014,0.04836578916779549,0.1716342108322045,100,0.03,0.1714466079977653,-0.0036029176947176764,0.06360291769471768,98,0.030612244897959183,0.1402561451069767,0.002843455199058844,0.05838103459685952,100,0.021739130434782605,3.486925384749193e-18,0.021739130434782605,0.021739130434782605,85,0.056862745098039215,0.20176624390666892,0.013969674492996367,0.09975581570308206,100,0.021126262626262594,0.01219518271370606,0.01873605073588766,0.023516474516637527
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,2,low_volume,none,100,100,0.26,0.18404698464748132,0.3537098944918718,100,0.27,0.1926958414957634,0.36432116767944994,100,0.26,0.18404698464748132,0.3537098944918718,100,0.26,0.18404698464748132,0.3537098944918718,100,0.26,0.18404698464748132,0.3537098944918718,100,0.26,0.18404698464748132,0.3537098944918718,26,0.8846153846153846,0.32581259360842113,0.7593793568889199,1.0098514123418494,100,0.022222222222222195,3.486925384749193e-18,0.022222222222222195,0.022222222222222195,100,0.32,0.5663992238766581,0.2089877920330311,0.43101220796696893,100,0.03,0.1714466079977653,-0.0036029176947176764,0.06360291769471768,100,0.02,0.09847319278346618,0.0006996088701736736,0.03930039112982633,100,0.14166666666666666,0.2555500658171887,0.09157977414181365,0.19175355919151968,100,0.021739130434782605,3.486925384749193e-18,0.021739130434782605,0.021739130434782605,82,0.20528455284552843,0.31459554508530546,0.1371929224335754,0.2733761832574815,100,0.01809725158562362,0.010210485529294738,0.016096033195415114,0.020098469975832128
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,2,observed,controlled,100,100,0.02,0.00550196755016235,0.07001179072854388,100,0.03,0.010254524024038925,0.0845193642905276,100,0.02,0.00550196755016235,0.07001179072854388,100,0.02,0.00550196755016235,0.07001179072854388,100,0.02,0.00550196755016235,0.07001179072854388,100,0.02,0.00550196755016235,0.07001179072854388,2,0.0,0.0,0.0,0.0,100,0.01977520063831615,0.01462903092226424,0.01690796326468008,0.022642438011952218,100,0.02,0.14070529413628965,-0.0075777308941242585,0.04757773089412426,100,0.0,0.0,0.0,0.0,100,0.01,0.09999999999999999,-0.009599639845400536,0.02959963984540054,58,0.034482758620689655,0.18405922400991945,-0.012885964825662267,0.08185148206704157,100,0.29,0.09737832431226713,0.2709141991473095,0.30908580085269044,66,0.030303030303030304,0.14881035630802764,-0.005598195708391596,0.0662042563144522,100,0.019808242042908205,0.014981529634135305,0.01687191619128573,0.02274456789453068
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,2,observed,none,100,100,0.41,0.3186731302113651,0.5079856994658921,100,0.42,0.3279838267435473,0.5179351329695703,100,0.41,0.3186731302113651,0.5079856994658921,100,0.41,0.3186731302113651,0.5079856994658921,100,0.41,0.3186731302113651,0.5079856994658921,100,0.41,0.3186731302113651,0.5079856994658921,41,0.8780487804878049,0.33129457822453967,0.7766411835841699,0.9794563773914399,100,0.022222222222222195,3.486925384749193e-18,0.022222222222222195,0.022222222222222195,100,0.51,0.6741249472052228,0.3778739382397798,0.6421260617602202,100,0.05,0.21904291355759034,0.007068377835840266,0.09293162216415973,100,0.03,0.119341628287971,0.0066094706699210345,0.05339052933007896,100,0.22166666666666668,0.29114792735042594,0.16460272148863478,0.2787306118446986,100,0.021739130434782605,3.486925384749193e-18,0.021739130434782605,0.021739130434782605,79,0.29324894514767935,0.286464833879209,0.23007967466607443,0.3564182156292843,100,0.018139534883720866,0.00968216743937733,0.01624186493637427,0.02003720483106746
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,4,low_volume,none,100,100,0.5,0.4038315303659956,0.5961684696340044,100,0.52,0.4231657776522397,0.615354482419481,100,0.5,0.4038315303659956,0.5961684696340044,100,0.5,0.4038315303659956,0.5961684696340044,100,0.5,0.4038315303659956,0.5961684696340044,100,0.5,0.4038315303659956,0.5961684696340044,50,1.18,0.7196938124462857,0.9805147185939785,1.3794852814060214,100,0.022222222222222195,3.486925384749193e-18,0.022222222222222195,0.022222222222222195,100,0.96,1.0910100963341403,0.746165950441551,1.173834049558449,100,0.02,0.14070529413628968,-0.007577730894124262,0.04757773089412426,100,0.03,0.0816496580927726,0.013996961078815633,0.04600303892118436,100,0.235,0.274827769758267,0.18113474693223303,0.28886525306776695,100,0.021739130434782605,3.486925384749193e-18,0.021739130434782605,0.021739130434782605,77,0.5179653679653679,0.39763340688405574,0.42915051674358085,0.6067802191871549,100,0.01437862950058071,0.01300629687102406,0.011829442156636394,0.016927816844525025
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,4,observed,controlled,100,100,0.19,0.12514751509768735,0.27778845379064376,100,0.23,0.15843265880303448,0.3215438302287378,100,0.19,0.12514751509768735,0.27778845379064376,100,0.19,0.12514751509768735,0.27778845379064376,100,0.19,0.12514751509768735,0.27778845379064376,100,0.19,0.12514751509768735,0.27778845379064376,19,0.7894736842105263,0.41885390829169555,0.6011374585560887,0.977809909864964,100,0.020767665498367126,0.014915268874648594,0.017844326516962876,0.023691004479771377,100,0.3,0.6890192121758832,0.16495471594791067,0.4350452840520893,100,0.0,0.0,0.0,0.0,100,0.035,0.14073520279730053,0.007416407116035036,0.06258359288396498,68,0.16911764705882354,0.30131366204397014,0.09750125164237265,0.2407340424752744,100,0.30826086956521737,0.07916208761400484,0.292745385498772,0.32377635363166274,70,0.2523809523809524,0.38436938036985663,0.162338388090448,0.34242351667145676,100,0.019190316162737517,0.016022495230329406,0.016049964803346473,0.02233066752212856
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,4,observed,none,100,100,0.51,0.4134801193402717,0.6057800106955886,100,0.52,0.4231657776522397,0.615354482419481,100,0.51,0.4134801193402717,0.6057800106955886,100,0.51,0.4134801193402717,0.6057800106955886,100,0.51,0.4134801193402717,0.6057800106955886,100,0.51,0.4134801193402717,0.6057800106955886,51,1.2156862745098038,0.7566696898963531,1.008018389123946,1.4233541598956616,100,0.022222222222222195,3.486925384749193e-18,0.022222222222222195,0.022222222222222195,100,1.05,1.2583057392117916,0.803376606960484,1.2966233930395161,100,0.0,0.0,0.0,0.0,100,0.0325,0.08449941724740778,0.01593841854804581,0.04906158145195419,100,0.2625,0.3145764348029479,0.200844151740121,0.32415584825987903,100,0.021739130434782605,3.486925384749193e-18,0.021739130434782605,0.021739130434782605,82,0.4878048780487805,0.4066748361562861,0.39978343885806755,0.5758263172394934,100,0.015354239256678266,0.011826371997537085,0.013036312938383695,0.017672165574972837
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,8,low_volume,none,100,100,0.68,0.5833738138954762,0.7633085267500092,100,0.7,0.6041514536665332,0.7810511470506724,100,0.68,0.5833738138954762,0.7633085267500092,100,0.68,0.5833738138954762,0.7633085267500092,100,0.68,0.5833738138954762,0.7633085267500092,100,0.68,0.5833738138954762,0.7633085267500092,68,1.4264705882352942,1.026749347700126,1.1824322436754486,1.6705089327951397,100,0.022222222222222195,3.486925384749193e-18,0.022222222222222195,0.022222222222222195,100,1.47,1.3740377716714334,1.200693545412632,1.739306454587368,100,0.0,0.0,0.0,0.0,100,0.02875,0.052869073085206345,0.018387852085697966,0.03911214791430204,100,0.18375,0.17175472145892917,0.150086693176579,0.217413306823421,100,0.021739130434782605,3.486925384749193e-18,0.021739130434782605,0.021739130434782605,81,0.6388888888888888,0.31385815975444137,0.5705388122919195,0.7072389654858582,100,0.016201991465149345,0.013295886742590999,0.01359604554934915,0.01880793738094954
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,8,observed,controlled,100,100,0.3,0.2189488529493276,0.3958485463334666,100,0.31,0.22779697212376038,0.40626055719489407,100,0.3,0.2189488529493276,0.3958485463334666,100,0.3,0.2189488529493276,0.3958485463334666,100,0.3,0.2189488529493276,0.3958485463334666,100,0.3,0.2189488529493276,0.3958485463334666,30,1.1333333333333333,0.6814453874610599,0.8894857140316539,1.3771809526350127,100,0.01807946351362077,0.016765543610663538,0.014793477347807156,0.021365449679434385,100,0.52,0.9154123649917549,0.3405824733613526,0.6994175266386474,100,0.0,0.0,0.0,0.0,100,0.02949999999999999,0.10535214318690472,0.008851359365955984,0.050148640634044,77,0.20649350649350645,0.29127361792344875,0.14143503154437853,0.27155198144263437,100,0.3658695652173913,0.08799636284949415,0.34862259502183857,0.383116535412944,58,0.4247126436781609,0.4262950842124356,0.31500309742086546,0.5344221899354564,100,0.015196720822797195,0.017512059401662807,0.01176442025055868,0.01862902139503571
containerd/containerd,causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,8,observed,none,100,100,0.58,0.4820648670304296,0.6720161732564526,100,0.58,0.4820648670304296,0.6720161732564526,100,0.58,0.4820648670304296,0.6720161732564526,100,0.58,0.4820648670304296,0.6720161732564526,100,0.58,0.4820648670304296,0.6720161732564526,100,0.58,0.4820648670304296,0.6720161732564526,58,1.396551724137931,1.0750708695107776,1.119875915158422,1.67322753311744,100,0.022222222222222195,3.486925384749193e-18,0.022222222222222195,0.022222222222222195,100,1.25,1.4240006242195884,0.9709010062567052,1.5290989937432948,100,0.0,0.0,0.0,0.0,100,0.0275,0.052041649986653324,0.01730002403301201,0.037699975966987986,100,0.15642857142857142,0.17797736683217488,0.12154564852313779,0.19131149433400504,100,0.021739130434782605,3.486925384749193e-18,0.021739130434782605,0.021739130434782605,74,0.6358108108108107,0.38053557579776354,0.5491091342005007,0.7225124874211207,100,0.012418207681365563,0.013522932899397221,0.009767761536548528,0.0150686538261826
