repo_full,detector_family,detector_variant,affected_metrics,dimensionality,magnitude_level,scenario_detector_rows,strict_incremental_episode_detected_n,strict_incremental_episode_detected_proportion,strict_incremental_episode_detected_ci95_low,strict_incremental_episode_detected_ci95_high,total_operational_episode_detected_n,total_operational_episode_detected_proportion,total_operational_episode_detected_ci95_low,total_operational_episode_detected_ci95_high,incremental_detected_within_0w_post_n,incremental_detected_within_0w_post_proportion,incremental_detected_within_0w_post_ci95_low,incremental_detected_within_0w_post_ci95_high,incremental_detected_within_1w_post_n,incremental_detected_within_1w_post_proportion,incremental_detected_within_1w_post_ci95_low,incremental_detected_within_1w_post_ci95_high,incremental_detected_within_2w_post_n,incremental_detected_within_2w_post_proportion,incremental_detected_within_2w_post_ci95_low,incremental_detected_within_2w_post_ci95_high,incremental_detected_within_4w_post_n,incremental_detected_within_4w_post_proportion,incremental_detected_within_4w_post_ci95_low,incremental_detected_within_4w_post_ci95_high,strict_incremental_detection_delay_weeks_n,strict_incremental_detection_delay_weeks_mean,strict_incremental_detection_delay_weeks_sd,strict_incremental_detection_delay_weeks_ci95_low,strict_incremental_detection_delay_weeks_ci95_high,reference_alarm_burden_n,reference_alarm_burden_mean,reference_alarm_burden_sd,reference_alarm_burden_ci95_low,reference_alarm_burden_ci95_high,incremental_alarm_duration_weeks_n,incremental_alarm_duration_weeks_mean,incremental_alarm_duration_weeks_sd,incremental_alarm_duration_weeks_ci95_low,incremental_alarm_duration_weeks_ci95_high,incremental_spillover_weeks_n,incremental_spillover_weeks_mean,incremental_spillover_weeks_sd,incremental_spillover_weeks_ci95_low,incremental_spillover_weeks_ci95_high,reference_alarm_overlap_fraction_n,reference_alarm_overlap_fraction_mean,reference_alarm_overlap_fraction_sd,reference_alarm_overlap_fraction_ci95_low,reference_alarm_overlap_fraction_ci95_high,incremental_boundary_overlap_n,incremental_boundary_overlap_mean,incremental_boundary_overlap_sd,incremental_boundary_overlap_ci95_low,incremental_boundary_overlap_ci95_high,pair_unevaluable_fraction_n,pair_unevaluable_fraction_mean,pair_unevaluable_fraction_sd,pair_unevaluable_fraction_ci95_low,pair_unevaluable_fraction_ci95_high,injection_relative_precision_n,injection_relative_precision_mean,injection_relative_precision_sd,injection_relative_precision_ci95_low,injection_relative_precision_ci95_high,injection_relative_false_alarm_rate_n,injection_relative_false_alarm_rate_mean,injection_relative_false_alarm_rate_sd,injection_relative_false_alarm_rate_ci95_low,injection_relative_false_alarm_rate_ci95_high
helm/helm,causal_rolling_mad,latency_log,rerun_rate,1,low,400,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,0,,,,,400,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,0.0,396,0.0,0.0,0.0,0.0,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,0,,,,,400,0.0,0.0,0.0,0.0
helm/helm,causal_rolling_mad,latency_log,rerun_rate,1,medium,400,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,0,,,,,400,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,0.0,396,0.0,0.0,0.0,0.0,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,0,,,,,400,0.0,0.0,0.0,0.0
helm/helm,causal_rolling_mad,rerun_rate,failure_rate,1,high,400,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.1825,0.14772734739355886,0.22331295950871943,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,0,,,,,400,0.04444444444444439,6.9475838182753e-18,0.04444444444444439,0.04444444444444439,400,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,0.0,400,0.0546875,0.1505052970990962,0.039938251910163536,0.06943674808983646,397,0.0,0.0,0.0,0.0,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,400,0.10625,0.2387014525692012,0.08285768749534848,0.12964231250465152,400,0.04323562329452031,0.011643866618613254,0.0420945453338568,0.04437670125518382
helm/helm,causal_rolling_mad,rerun_rate,failure_rate,1,low,400,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.1475,0.1161060733583933,0.18560009414728573,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,0,,,,,400,0.04444444444444439,6.9475838182753e-18,0.04444444444444439,0.04444444444444439,400,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,0.0,400,0.0425,0.12605444978570549,0.03014689091645023,0.054853109083549775,396,0.0,0.0,0.0,0.0,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,400,0.08125,0.20402819968245606,0.061255603839591985,0.10124439616040802,400,0.04454495036455357,0.010099055323985733,0.04355526112890909,0.045534639600198046
helm/helm,causal_rolling_mad,rerun_rate,failure_rate,1,medium,400,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.1875,0.15228915456130324,0.2286560293976321,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,0,,,,,400,0.04444444444444439,6.9475838182753e-18,0.04444444444444439,0.04444444444444439,400,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,0.0,400,0.06125,0.16720932958345766,0.04486378680686676,0.07763621319313324,399,0.0,0.0,0.0,0.0,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,400,0.10875,0.24019298318837778,0.08521152018057725,0.13228847981942277,400,0.04313610398883329,0.01177029611012342,0.0419826361656726,0.04428957181199398
helm/helm,causal_rolling_mad,rerun_rate,failure_rate+rerun_rate,2,high,400,400,0.285,0.24297076989988833,0.33111951666385914,400,0.3025,0.25953936408389566,0.3492179921781514,400,0.285,0.24297076989988833,0.33111951666385914,400,0.3025,0.25953936408389566,0.3492179921781514,400,0.3025,0.25953936408389566,0.3492179921781514,400,0.3025,0.25953936408389566,0.3492179921781514,114,1.1491228070175439,0.8226060051155888,0.998119123665669,1.3001264903694187,400,0.04444444444444439,6.9475838182753e-18,0.04444444444444439,0.04444444444444439,400,0.4875,0.9038174400354757,0.3989275184465639,0.5760724815534362,400,0.03,0.17080085576725623,0.01326182370837787,0.04673817629162213,400,0.0409375,0.12485855092101317,0.02870158685164769,0.05317341314835231,398,0.11273031825795643,0.21081817711670212,0.09201867253568459,0.13344196398022828,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,366,0.18929872495446265,0.30834426985646507,0.1577091756033123,0.220888274305613,400,0.038035595430164305,0.018167404868941,0.036255222468380206,0.039815968391948404
helm/helm,causal_rolling_mad,rerun_rate,failure_rate+rerun_rate,2,low,400,400,0.0075,0.0025538891952499396,0.021815720724032123,400,0.12,0.09171539075382554,0.15551395294023979,400,0.0075,0.0025538891952499396,0.021815720724032123,400,0.01,0.003895483794990993,0.025426564652619582,400,0.01,0.003895483794990993,0.025426564652619582,400,0.01,0.003895483794990993,0.025426564652619582,3,3.6666666666666665,2.081665999466133,1.3110831185593743,6.022250214773958,400,0.04444444444444439,6.9475838182753e-18,0.04444444444444439,0.04444444444444439,400,0.01,0.09962335082737976,0.0002370910179568548,0.019762908982043144,400,0.0025,0.05,-0.002399909961350135,0.007399909961350135,400,0.054375,0.1625,0.03845029262561206,0.07029970737438794,399,0.0009398496240601503,0.01081160696674925,-0.00012099527537837184,0.0020006945234986723,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,376,0.08421985815602837,0.23538610703553173,0.06042763662839754,0.1080120796836592,400,0.040131280991529635,0.016074302144072232,0.03855602832757981,0.04170653365547946
helm/helm,causal_rolling_mad,rerun_rate,failure_rate+rerun_rate,2,medium,400,400,0.085,0.0614630200239382,0.11643218427352792,400,0.1675,0.1341055740674824,0.2072201016648248,400,0.085,0.0614630200239382,0.11643218427352792,400,0.0925,0.06785393449857381,0.12489858538387784,400,0.0925,0.06785393449857381,0.12489858538387784,400,0.0925,0.06785393449857381,0.12489858538387784,34,1.2647058823529411,1.0242165824878728,0.9204348867682337,1.6089768779376485,400,0.04444444444444439,6.9475838182753e-18,0.04444444444444439,0.04444444444444439,400,0.1275,0.46560252822092185,0.08187179067880995,0.17312820932119005,400,0.0075,0.08638521873004427,-0.0009655958753750846,0.015965595875375084,400,0.0409375,0.1180886145908655,0.029365028420883624,0.05250997157911638,399,0.03070175438596491,0.11985809772342969,0.018941166712240488,0.04246234205968934,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,357,0.1280112044817927,0.2868524524247996,0.09825534150387355,0.15776706745971186,400,0.03753374270986293,0.018588669037061255,0.03571208661820418,0.039355398801521675
helm/helm,causal_rolling_mad,rerun_rate,latency_log,1,high,400,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.1725,0.13863520728428091,0.2125953455046833,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,0,,,,,400,0.04444444444444439,6.9475838182753e-18,0.04444444444444439,0.04444444444444439,400,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,0.0,400,0.053125,0.15778537618341998,0.03766231726966964,0.06858768273033036,396,0.0,0.0,0.0,0.0,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,400,0.105,0.24571515999145038,0.080920356798063,0.129079643201937,400,0.04323051259683267,0.011928009712548773,0.0420615891246407,0.04439943606902465
helm/helm,causal_rolling_mad,rerun_rate,latency_log,1,low,400,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.1775,0.14317591908715524,0.217959510758466,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,0,,,,,400,0.04444444444444439,6.9475838182753e-18,0.04444444444444439,0.04444444444444439,400,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,0.0,400,0.0565625,0.16090010317508932,0.04079457963340231,0.0723304203665977,397,0.0,0.0,0.0,0.0,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,400,0.11,0.2535956958277405,0.08514807847716271,0.1348519215228373,400,0.043011222125146464,0.012393819741609077,0.0417966501089247,0.04422579414136823
helm/helm,causal_rolling_mad,rerun_rate,latency_log,1,medium,400,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.135,0.10496299061600528,0.1719809842480312,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,0,,,,,400,0.04444444444444439,6.9475838182753e-18,0.04444444444444439,0.04444444444444439,400,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,0.0,400,0.039375,0.13041377902429824,0.026594684501230516,0.052155315498769485,395,0.0,0.0,0.0,0.0,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,400,0.08125,0.2188450831663009,0.05980357594001887,0.10269642405998114,400,0.0444623286043786,0.010771210668007111,0.04340676935541922,0.04551788785333798
helm/helm,causal_rolling_mad,rerun_rate,latency_log+failure_rate,2,high,400,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.17,0.13636898220196564,0.20990913205867007,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,0,,,,,400,0.04444444444444439,6.9475838182753e-18,0.04444444444444439,0.04444444444444439,400,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,0.0,400,0.0453125,0.1283140720906761,0.032737951999629936,0.05788704800037006,398,0.0,0.0,0.0,0.0,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,400,0.09375,0.21668714960053587,0.07251504954351534,0.11498495045648466,400,0.043882088002109895,0.010555516349757339,0.042847666407922494,0.0449165095962973
helm/helm,causal_rolling_mad,rerun_rate,latency_log+failure_rate,2,low,400,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.165,0.13184503236772813,0.2045282048362506,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,0,,,,,400,0.04444444444444439,6.9475838182753e-18,0.04444444444444439,0.04444444444444439,400,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,0.0,400,0.0496875,0.14619729466089793,0.03536042839137251,0.0640145716086275,398,0.0,0.0,0.0,0.0,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,400,0.095,0.22605918891350243,0.07284660656775996,0.11715339343224004,400,0.04381209783058079,0.011085786081828253,0.04272571075754585,0.04489848490361573
helm/helm,causal_rolling_mad,rerun_rate,latency_log+failure_rate,2,medium,400,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.1575,0.1250811291822658,0.19643479243672732,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,400,0.0,8.673617379884035e-19,0.009512294334296508,0,,,,,400,0.04444444444444439,6.9475838182753e-18,0.04444444444444439,0.04444444444444439,400,0.0,0.0,0.0,0.0,400,0.0,0.0,0.0,0.0,400,0.0446875,0.13273049122942707,0.03168015087700067,0.057694849122999325,398,0.0,0.0,0.0,0.0,400,0.021739130434782598,3.47379190913765e-18,0.021739130434782598,0.021739130434782598,400,0.09375,0.2306924033478476,0.07114255989656157,0.11635744010343843,400,0.04383080801691792,0.011225447542932225,0.04273073437219338,0.044930881661642455
