detector_family,detector_variant,scenario_type,affected_metrics,dimensionality,magnitude_level,duration_weeks,volume_condition,missingness_condition,metric,repositories_observed,cross_repository_mean,cross_repository_minimum,cross_repository_maximum,cross_repository_range,cross_repository_sd,interpretation
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,4,observed,none,pair_unevaluable_fraction_mean,3,0.021739130434782605,0.021739130434782605,0.021739130434782605,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,8,observed,none,strict_incremental_episode_detected_proportion,3,0.13333333333333333,0.02,0.28,0.26,0.13316656236958788,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,8,observed,none,strict_incremental_detection_delay_weeks_mean,3,2.066666666666667,1.5,2.7,1.2000000000000002,0.602771377334171,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,8,observed,none,reference_alarm_burden_mean,3,0.014814814814814796,0.0,0.022222222222222195,0.022222222222222195,0.012830005981991669,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,8,observed,none,incremental_spillover_weeks_mean,3,0.0,0.0,0.0,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,low,8,observed,none,pair_unevaluable_fraction_mean,3,0.021739130434782605,0.021739130434782605,0.021739130434782605,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,1,low_volume,none,strict_incremental_episode_detected_proportion,3,0.02,0.01,0.03,0.019999999999999997,0.01,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,1,low_volume,none,strict_incremental_detection_delay_weeks_mean,3,0.0,0.0,0.0,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,1,low_volume,none,reference_alarm_burden_mean,3,0.014814814814814796,0.0,0.022222222222222195,0.022222222222222195,0.012830005981991669,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,1,low_volume,none,incremental_spillover_weeks_mean,3,0.03666666666666667,0.0,0.06,0.06,0.03214550253664318,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,1,low_volume,none,pair_unevaluable_fraction_mean,3,0.021739130434782605,0.021739130434782605,0.021739130434782605,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,1,observed,controlled,strict_incremental_episode_detected_proportion,3,0.0,0.0,0.0,0.0,0.0,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,1,observed,controlled,strict_incremental_detection_delay_weeks_mean,0,,,,,,descriptive stability across three repositories; not population-level transportability
causal_rolling_mad,failure_rate,metric_shift,failure_rate,1,medium,1,observed,controlled,reference_alarm_burden_mean,3,0.013589845267512635,0.0,0.021399583009146975,0.021399583009146975,0.011812822291873318,descriptive stability across three repositories; not population-level transportability
