repo_full,detector_family,detector_variant,affected_metrics,dimensionality,duration_weeks,scenario_detector_rows,strict_incremental_episode_detected_n,strict_incremental_episode_detected_proportion,strict_incremental_episode_detected_ci95_low,strict_incremental_episode_detected_ci95_high,total_operational_episode_detected_n,total_operational_episode_detected_proportion,total_operational_episode_detected_ci95_low,total_operational_episode_detected_ci95_high,incremental_detected_within_0w_post_n,incremental_detected_within_0w_post_proportion,incremental_detected_within_0w_post_ci95_low,incremental_detected_within_0w_post_ci95_high,incremental_detected_within_1w_post_n,incremental_detected_within_1w_post_proportion,incremental_detected_within_1w_post_ci95_low,incremental_detected_within_1w_post_ci95_high,incremental_detected_within_2w_post_n,incremental_detected_within_2w_post_proportion,incremental_detected_within_2w_post_ci95_low,incremental_detected_within_2w_post_ci95_high,incremental_detected_within_4w_post_n,incremental_detected_within_4w_post_proportion,incremental_detected_within_4w_post_ci95_low,incremental_detected_within_4w_post_ci95_high,strict_incremental_detection_delay_weeks_n,strict_incremental_detection_delay_weeks_mean,strict_incremental_detection_delay_weeks_sd,strict_incremental_detection_delay_weeks_ci95_low,strict_incremental_detection_delay_weeks_ci95_high,reference_alarm_burden_n,reference_alarm_burden_mean,reference_alarm_burden_sd,reference_alarm_burden_ci95_low,reference_alarm_burden_ci95_high,incremental_alarm_duration_weeks_n,incremental_alarm_duration_weeks_mean,incremental_alarm_duration_weeks_sd,incremental_alarm_duration_weeks_ci95_low,incremental_alarm_duration_weeks_ci95_high,incremental_spillover_weeks_n,incremental_spillover_weeks_mean,incremental_spillover_weeks_sd,incremental_spillover_weeks_ci95_low,incremental_spillover_weeks_ci95_high,reference_alarm_overlap_fraction_n,reference_alarm_overlap_fraction_mean,reference_alarm_overlap_fraction_sd,reference_alarm_overlap_fraction_ci95_low,reference_alarm_overlap_fraction_ci95_high,incremental_boundary_overlap_n,incremental_boundary_overlap_mean,incremental_boundary_overlap_sd,incremental_boundary_overlap_ci95_low,incremental_boundary_overlap_ci95_high,pair_unevaluable_fraction_n,pair_unevaluable_fraction_mean,pair_unevaluable_fraction_sd,pair_unevaluable_fraction_ci95_low,pair_unevaluable_fraction_ci95_high,injection_relative_precision_n,injection_relative_precision_mean,injection_relative_precision_sd,injection_relative_precision_ci95_low,injection_relative_precision_ci95_high,injection_relative_false_alarm_rate_n,injection_relative_false_alarm_rate_mean,injection_relative_false_alarm_rate_sd,injection_relative_false_alarm_rate_ci95_low,injection_relative_false_alarm_rate_ci95_high
pytest-dev/pytest,causal_rolling_mad,union,latency_log+failure_rate+rerun_rate,3,8,300,300,0.10333333333333333,0.07375658473854114,0.142940172432932,300,0.10333333333333333,0.07375658473854114,0.142940172432932,300,0.10333333333333333,0.07375658473854114,0.142940172432932,300,0.10333333333333333,0.07375658473854114,0.142940172432932,300,0.10333333333333333,0.07375658473854114,0.142940172432932,300,0.10333333333333333,0.07375658473854114,0.142940172432932,31,3.161290322580645,1.098385912556796,2.774636597773361,3.547944047387929,300,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,300,0.2833333333333333,0.9050520904956747,0.18091892991326114,0.3857477367534055,300,0.0,0.0,0.0,0.0,300,0.019555555555555555,0.07497668823057949,0.0110713004765555,0.028039810634555608,41,0.41829268292682925,0.28635168931385707,0.33064187729567446,0.5059434885579841,300,0.8695652173913043,0.0,0.8695652173913043,0.8695652173913043,231,0.1341991341991342,0.34160635138064244,0.09014689001594957,0.17825137838231886,286,0.23310023310023306,0.15312197502583658,0.21535414649623374,0.2508463197042324
pytest-dev/pytest,causal_rolling_mad,union,latency_log+rerun_rate,2,1,300,300,0.043333333333333335,0.025496448084407246,0.07271746563401146,300,0.08666666666666667,0.05982889751804311,0.12395595869424827,300,0.043333333333333335,0.025496448084407246,0.07271746563401146,300,0.05,0.03053164062934728,0.08084703347274415,300,0.05,0.03053164062934728,0.08084703347274415,300,0.05,0.03053164062934728,0.08084703347274415,13,0.0,0.0,0.0,0.0,300,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,300,0.09333333333333334,0.4145621321671563,0.04642207386847789,0.1402445927981888,300,0.05,0.21830909938949905,0.025296453751182585,0.07470354624881742,300,0.043333333333333335,0.20394656873443773,0.020255030563965826,0.06641163610270084,40,0.1625,0.23717082451262844,0.08900135057974798,0.23599864942025203,300,0.8695652173913043,0.0,0.8695652173913043,0.8695652173913043,300,0.0325,0.11192485833381019,0.01983474270209639,0.04516525729790361,300,0.34355555555555556,0.06643736112349276,0.33603759854985443,0.3510735125612567
pytest-dev/pytest,causal_rolling_mad,union,latency_log+rerun_rate,2,2,300,300,0.06,0.038286369524692054,0.09283944515290843,300,0.12666666666666668,0.09369224846506602,0.16908117004926165,300,0.06,0.038286369524692054,0.09283944515290843,300,0.06333333333333334,0.040916882383915276,0.09679131248552161,300,0.06333333333333334,0.040916882383915276,0.09679131248552161,300,0.06333333333333334,0.040916882383915276,0.09679131248552161,18,0.6666666666666666,0.48507125007266594,0.44257929981407107,0.8907540335192622,300,0.33355555555555555,0.0038490017945975066,0.33312000800343555,0.33399110310767555,300,0.10333333333333333,0.4162126846759632,0.05623529970124694,0.15043136696541973,300,0.023333333333333334,0.15121212222763153,0.006222385300116314,0.04044428136655036,300,0.05333333333333334,0.20968735021061724,0.029605411921876476,0.0770612547447902,40,0.2875,0.36784484373146925,0.17350579659819382,0.40149420340180614,300,0.8696376811594204,0.0012551092808470116,0.8694956547837291,0.8697797075351117,300,0.07916666666666666,0.2287133197010958,0.0532857936899704,0.10504753964336293,300,0.3103888888888888,0.09770896893925883,0.2993322813545931,0.32144549642318454
pytest-dev/pytest,causal_rolling_mad,union,latency_log+rerun_rate,2,4,300,300,0.11,0.07940528531126051,0.15045623224388538,300,0.12666666666666668,0.09369224846506602,0.16908117004926165,300,0.11,0.07940528531126051,0.15045623224388538,300,0.11,0.07940528531126051,0.15045623224388538,300,0.11,0.07940528531126051,0.15045623224388538,300,0.11,0.07940528531126051,0.15045623224388538,33,1.4848484848484849,1.0344446614371197,1.131910514603118,1.8377864550938516,300,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,300,0.23666666666666666,0.6992510725271169,0.15754041284575188,0.31579292048758145,300,0.023333333333333334,0.15121212222763153,0.006222385300116314,0.04044428136655036,300,0.018333333333333333,0.08478117941796137,0.008739616018581592,0.027927050648085074,38,0.5723684210526315,0.3202213085090768,0.47055465068325053,0.6741821914220125,300,0.8695652173913043,0.0,0.8695652173913043,0.8695652173913043,261,0.1277139208173691,0.32534388365274647,0.0882436156743108,0.1671842259604274,300,0.2504444444444444,0.14261124100050876,0.23430675986093696,0.26658212902795186
pytest-dev/pytest,causal_rolling_mad,union,latency_log+rerun_rate,2,8,300,300,0.11333333333333333,0.082244501875291,0.15419939587169124,300,0.11333333333333333,0.082244501875291,0.15419939587169124,300,0.11333333333333333,0.082244501875291,0.15419939587169124,300,0.11333333333333333,0.082244501875291,0.15419939587169124,300,0.11333333333333333,0.082244501875291,0.15419939587169124,300,0.11333333333333333,0.082244501875291,0.15419939587169124,34,3.7058823529411766,1.360245338047201,3.2486616588264026,4.163103047055951,300,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,300,0.26666666666666666,0.8393871523482553,0.1716828139702559,0.36165051936307746,300,0.0,0.0,0.0,0.0,300,0.018666666666666665,0.0719717521696387,0.010522445865503775,0.026810887467829555,51,0.3810457516339869,0.3520261923311189,0.2844322147922344,0.4776592884757394,300,0.8695652173913043,0.0,0.8695652173913043,0.8695652173913043,236,0.1440677966101695,0.3519048161639447,0.09917079892861225,0.18896479429172675,288,0.23379629629629628,0.15281516805686518,0.21614736914390892,0.25144522344868364
pytest-dev/pytest,causal_rolling_mad,union,rerun_rate,1,1,300,300,0.013333333333333334,0.005196961739358857,0.03377553025253262,300,0.07666666666666666,0.051627611786607464,0.1124101038501748,300,0.013333333333333334,0.005196961739358857,0.03377553025253262,300,0.02666666666666667,0.01357306980864708,0.05172894295058982,300,0.02666666666666667,0.01357306980864708,0.05172894295058982,300,0.02666666666666667,0.01357306980864708,0.05172894295058982,4,0.0,0.0,0.0,0.0,300,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,300,0.04,0.25550788820788845,0.01108709187600242,0.06891290812399758,300,0.02666666666666667,0.16137646493112862,0.008405536113495794,0.04492779721983754,300,0.06333333333333334,0.24396849039011778,0.035726207004377654,0.09094045966228903,50,0.04,0.13702375780893483,0.002019650005166636,0.07798034999483336,300,0.8695652173913043,0.0,0.8695652173913043,0.8695652173913043,300,0.035,0.1244721295583445,0.020914911390169644,0.049085088609830366,300,0.3371111111111111,0.0579645667168625,0.3305519234332403,0.34367029878898187
pytest-dev/pytest,causal_rolling_mad,union,rerun_rate,1,2,300,300,0.06666666666666667,0.043567515545158274,0.10072305951611496,300,0.11666666666666667,0.08509313461466292,0.15793314332415567,300,0.06666666666666667,0.043567515545158274,0.10072305951611496,300,0.06666666666666667,0.043567515545158274,0.10072305951611496,300,0.06666666666666667,0.043567515545158274,0.10072305951611496,300,0.06666666666666667,0.043567515545158274,0.10072305951611496,20,0.8,0.41039134083406165,0.6201413696507493,0.9798586303492508,300,0.33377777777777773,0.005434200389970912,0.3331628514140375,0.33439270414151795,300,0.11666666666666667,0.45136977205609974,0.06559030718147708,0.16774302615185627,300,0.03666666666666667,0.18825609351281192,0.0153638756894659,0.057969457643867434,300,0.03833333333333333,0.17644924674765528,0.01836658829252003,0.058300078374146636,43,0.251937984496124,0.3199125480354748,0.15631877738831312,0.34755719160393483,300,0.8697101449275363,0.00177202186629486,0.8695096254610992,0.8699106643939734,300,0.05972222222222221,0.19113314982291477,0.038093867657356825,0.0813505767870876,300,0.3453333333333334,0.09766162317993936,0.33428208337761917,0.3563845832890476
pytest-dev/pytest,causal_rolling_mad,union,rerun_rate,1,4,300,300,0.10666666666666667,0.07657584904594214,0.14670328831736743,300,0.12333333333333334,0.09081731429366795,0.1653737240288234,300,0.10666666666666667,0.07657584904594214,0.14670328831736743,300,0.10666666666666667,0.07657584904594214,0.14670328831736743,300,0.10666666666666667,0.07657584904594214,0.14670328831736743,300,0.10666666666666667,0.07657584904594214,0.14670328831736743,32,1.25,0.9837387536759294,0.909158174779886,1.590841825220114,300,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,300,0.23666666666666666,0.7319663960218663,0.15383839351051734,0.31949493982281596,300,0.02666666666666667,0.16137646493112862,0.008405536113495794,0.04492779721983754,300,0.021666666666666667,0.09341472004969076,0.011095990210571728,0.03223734312276161,45,0.4129629629629629,0.3117822846819979,0.321868229537551,0.5040576963883748,300,0.8695652173913043,0.0,0.8695652173913043,0.8695652173913043,300,0.0765,0.22293390544831723,0.05127311729527981,0.10172688270472019,300,0.3676666666666667,0.15599895663259122,0.35001404728104596,0.38531928605228744
pytest-dev/pytest,causal_rolling_mad,union,rerun_rate,1,8,300,300,0.05333333333333334,0.03309191251909646,0.08486914177483133,300,0.07,0.046236944827176336,0.10463601042593323,300,0.05333333333333334,0.03309191251909646,0.08486914177483133,300,0.05333333333333334,0.03309191251909646,0.08486914177483133,300,0.05333333333333334,0.03309191251909646,0.08486914177483133,300,0.05333333333333334,0.03309191251909646,0.08486914177483133,16,3.375,1.5864005379054391,2.5976780201625926,4.152321979837407,300,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,300,0.11333333333333333,0.5304969168791495,0.05330305902214951,0.17336360764451714,300,0.0,0.0,0.0,0.0,300,0.014888888888888889,0.06633548358914013,0.007382460199637392,0.022395317578140388,39,0.17264957264957262,0.2316508002735074,0.09994703124885539,0.24535211405028984,300,0.8695652173913043,0.0,0.8695652173913043,0.8695652173913043,300,0.051944444444444446,0.20403518658322886,0.02885611380572928,0.07503277508315961,289,0.36770472895040374,0.127425839652117,0.353013549161114,0.3823959087396935
pytest-dev/pytest,mewma,mewma,failure_rate,1,1,300,300,0.0,8.673617379884035e-19,0.012642971224546034,300,0.05,0.03053164062934728,0.08084703347274415,300,0.0,8.673617379884035e-19,0.012642971224546034,300,0.0,8.673617379884035e-19,0.012642971224546034,300,0.0,8.673617379884035e-19,0.012642971224546034,300,0.0,8.673617379884035e-19,0.012642971224546034,0,,,,,300,0.0652173913043478,0.0,0.0652173913043478,0.0652173913043478,300,0.0,0.0,0.0,0.0,300,0.0,0.0,0.0,0.0,300,0.05,0.21830909938949905,0.025296453751182585,0.07470354624881742,300,0.0,0.0,0.0,0.0,300,0.0,0.0,0.0,0.0,300,0.016666666666666666,0.07276969979649968,0.008432151250394194,0.02490118208293914,300,0.06555555555555549,0.004851313319766641,0.06500658786113733,0.06610452324997365
pytest-dev/pytest,mewma,mewma,failure_rate,1,2,300,300,0.0033333333333333335,0.0005886577218511581,0.018636693694531237,300,0.07,0.046236944827176336,0.10463601042593323,300,0.0033333333333333335,0.0005886577218511581,0.018636693694531237,300,0.01,0.003406618437715286,0.02898349336233983,300,0.013333333333333334,0.005196961739358857,0.03377553025253262,300,0.013333333333333334,0.005196961739358857,0.03377553025253262,1,1.0,,,,300,0.0652173913043478,0.0,0.0652173913043478,0.0652173913043478,300,0.013333333333333334,0.11488931224930927,0.0003326226594192218,0.026334044007247447,300,0.01,0.09966499068325335,-0.001277948164400404,0.021277948164400404,300,0.045,0.17958052199389182,0.024678924319375982,0.06532107568062401,300,0.0016666666666666668,0.02886751345948128,-0.0015999399742334223,0.004933273307566756,300,0.0,0.0,0.0,0.0,300,0.030833333333333334,0.12037910048475664,0.017211406054386078,0.04445526061228059,300,0.06636363636363629,0.008526083761883735,0.06539883688838768,0.0673284358388849
pytest-dev/pytest,mewma,mewma,failure_rate,1,4,300,300,0.05333333333333334,0.03309191251909646,0.08486914177483133,300,0.18666666666666668,0.1466374821326313,0.23461877983475085,300,0.05333333333333334,0.03309191251909646,0.08486914177483133,300,0.07666666666666666,0.051627611786607464,0.1124101038501748,300,0.09,0.06259022560547936,0.12777701079864834,300,0.09333333333333334,0.06536421957889091,0.1315853970170732,16,2.3125,0.873212459828649,1.8846337569710547,2.7403662430289453,300,0.0652173913043478,0.0,0.0652173913043478,0.0652173913043478,300,0.09666666666666666,0.30708831465701386,0.061916991069929525,0.13141634226340382,300,0.04,0.19628659682628735,0.01778848872410121,0.06221151127589879,300,0.06,0.14509828291777135,0.04358088530113016,0.07641911469886983,300,0.014166666666666666,0.06140200520367662,0.007218503353451534,0.0211148299798818,300,0.0,0.0,0.0,0.0,300,0.09016666666666666,0.20343704521007297,0.06714602085243389,0.11318731248089943,300,0.06666666666666664,0.014957400382696788,0.06497410857747413,0.06835922475585915
